,corpus,label
23,"We are playing for the 61 Roadhouse ... http://fb.me/G1FbJGw1' RT @OMBieberJokes : Little Girl : Santa Is So Awesome ! Me : No Little Girl ... You Only Use The Word "" Awesome "" When You Are Referring To Just ... Today = Morton 's Salt motto + Murphy 's Law @FLAM3Z130 half the time in inglewood the other half in mv ... where u been RT @shan7792 : its annoying tht ppl ask me what race i am before they ask me my name -_- My boobs look HUGE today ! =D @tanyahowse ok this may sound stupid but can u tell them jedsweemonster says hi :' ) Serious Eats : Leftovers : The Day 's Stray Links #Food http://portfo.li/t/7/rjE What is it with people and punctuality ? I used to be that guy and honestly , it 's a haze now .",O O O O O O O O O O O O O O O B-person O O O O O O O O O O O O O O O O O O O O O O O O O O O B-product I-product I-product O O B-other I-other I-other O O O O O B-geo-loc O O O O B-geo-loc O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-company I-company O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
24,Just be on time .,O O O O O
25,It 's not like its a surprise .,O O O O O O O O
26,"he likes prince , paul simon , and o.d.b. i may have found my soul mate .",O O B-person O B-person I-person O O B-person O O O O O O O O
27,"Come to "" 6th Biannual 24 Hour Prayer Focus "" Saturday , November 13 from 10:00 am to 1:00 pm .",O O O B-other I-other I-other I-other I-other I-other O O O O O O O O O O O O
28,"Mark the Date !!! http://fb.me/JyYXPmql @RaniLovezYou Yeah , he 's had a few shows over here .",O O O O O O O O O O O O O O O O O
29,"Great chef , glad I wasn't disappointed ! His wife gave birth a couple of days ago , aww .",O O O O O O O O O O O O O O O O O O O O
30,"I'm tired after school today ! It 's supposed to rain in The Bay on Sunday ... well , weather.com says &quot; showers &quot;. Whatever , same thing .",O O O O O O O O O O O O B-geo-loc I-geo-loc O O O O O O O O O O O O O O O
31,"cant wait to see my beautiful neice nx week , gonna spoil her rotton GuitarNews : RockHouse : The Weekend Read For Sept .",O O O O O O O O O O O O O O B-other O B-other O O O O O O O
32,"17th 2010 - Guitar Lessons , Articles and More : http://bit.ly/bmHnln What a productive day .",O O O O O O O O O O O O O O O O
33,Not .,O O
34,right .,O O
35,Five Star Day came out in may this year .,O O O O O O O O O O
36,why haven't ANY trailers come out here in Scotland yet ? i've waited about a year for this ! @jeffpulver @wildman94 @MusicIsGood4U thanks for hitting me and @shoewolf up .,O O O O O O O O B-geo-loc O O O O O O O O O O O O O O O O O O O O O
37,Let me know when that DM with all the info has been sent .,O O O O O O O O O O O O O O
38,is up and ready for his last day on the punt until Stakes Day ... #sadbuttrue @alealshinn @BambingBling ~~~ @sunchips this is the second time they have messed up .... about to give up on them @Daniim92 tks :D obviously its one of the happiest day in my life lol RT @mrdaveyd : PG&lt;E donated 35G to state committe chairman investigating them 1day after explosion in #sanBrunofire -Who is still defendi ... @coulditbeJenG It was 20 years ago .,O O O O O O O O O O O O B-other I-other O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
39,"They're coming after me , I just know it .",O O O O O O O O O O
40,"@peasmom3 and as if I was n't obsessed with AFL already , after Sunday I 've gotten even more so !! I 'm so obsessed with his sexiness !!!! Of course , I was stunned .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
41,"This , after all , was an inanimate object .",O O O O O O O O O O
42,"Halo Reach was a bit crap tonight So here in Belgium its now 7minutes before midnight ,, Tell me how late it is were you live :D We are tied as the 5th band to compete in South 107 's Battle of the Bands next Friday for the spot to open for ... http://fb.me/IxhGnUhs RT @eljmayes : Ladbrokes Labour Leadership Market- http://bit.ly/cD3Rn8 Ed Miliband 's odds have shortened significantly in the last week .",B-product I-product O O O O O O O O B-geo-loc O O O O O O O O O O O O O O O O O O O O O O O O O O B-company I-company O O O O O O O O O O O O O O O O O O O O O O O B-person I-person O O O O O O O O O O
43,@Zerinaakers talking about as far as shooting for location its going to be on #Vh1 so by the end of the month i should know something First Day of Autumn Networking Mixer at Dick 's Carpet next T ... http://conta.cc/ap95gL via #constantcontact Why hate on somebody for doing well when you can simply say great job and move on .. [Haters u can kill yourself ] cuz ur losers Wat a day today .,O O O O O O O O O O O O O O B-other O O O O O O O O O O O B-other I-other I-other I-other I-other I-other O B-facility I-facility I-facility O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
44,But oh well i love her *Danielle ily* @Vivianna_loves I just bought Dior mascara for the first time ..... its the only mascara that doesn't make me wanna wear lashes .,O O O O O O O O O O O O B-product O O O O O O O O O O O O O O O O O O
45,"realy bored smack down tonite yay !! ( : mood : bored-_- ha ! Bloggers : Who are you writing for ? | Social Media Today http://bit.ly/9mY0NK RT @LilTwist : RT this if you want me to go back live on Ustream later tonight The British have a remarkable talent for keeping calm , even when there is no crisis .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-company O O O O O O O O O O O O O O O O O O O
46,@sfgiantsfan55 omg Todo Cabio has been my fav since like `07 i still listen to their CD all the time i want the new one .,O O B-person I-person O O O O O O O O O O O O O O O O O O O O O O
47,alejate de mi ... Resources - Tweets of the Week ( 9.13 .,O O O O O O O O O O O O O
48,10 - 9.17 .,O O O O
49,"10) : This weeks Tweets of the Week has some cool inspiration , coupl ... http://bit.ly/95X8G5 well poolnewsfeed when you're good , you're good ! @zeeDOTi i might join in if I make it home in time .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
50,":) When TIFF is in Tdot , ALWAYS have ur camera in purse ! Managed to get a pic of EVA MENDES ! Didn't know she was signing autographs @ the mall .",O O B-other O O B-geo-loc O O O O O O O O O O O O O O B-person I-person O O O O O O O O O O O
51,"I see her tomorrow : 3 so yeah~ ca n't wait @singingislife15 Follow Friday :) @TheGayDragon @RealmOfMachias Sir .. I SWEAR I had nothing to do with it this time .. honest .. please don't hurt me .. RT @Quotealicious : When ever i see a cute love story movie , It 's always you that comes into my mind #Quotealicious Exclusive : Rep .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
52,"Steve King on ObamaCare , Tea Party , and Constitution Day : The inclusion of the Tenth Amendment in ... http://bit.ly/cYITA8 @TimothyJMoore Thnx , I'm glad they weren't totally ignored , but one isn't many when you think how many there are in the CofE ! Justice Breyer 's About Face : Koran-Burning Is Constitutionally Protected After All via Atlas Shrugs http://tinyurl.com/39wg73o Don't forget to come and see us at the football game tomorrow afternoon ! Go Reivers ! ... asked me a question for once , but no ! You ask me about fucking donuts you donut ... have a nice day :P Here we go , Friday night craziness CHILLIN @LIVE TONIGHT ! ugh so this chick onFB jus wrote this long status cussin me out , but im not even gonna stoop to her leve but i wanna bomb her ass out so bad today just doesn't feel like a Friday APO disaster relief tomorrow 10-12 .",B-person I-person O O O O O O O B-other I-other O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-person I-person O O O O O O O O O O O B-other I-other O O O O O O O O O O O O O O O O B-sportsteam O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-other O O O O O
53,"Sign up on the website ! Every seven years you lose around half of your friends , and replace them with new friends .",O O O O O O O O O O O O O O O O O O O O O O O O
54,"RT @rainnwilson : Hey , Seattle-ites ! Check it : http://www.officetally.com/rainn-wilson-and-friends-seattle-oct-23 For code I've written since Sept ' 09 , the delay between commit to SCM and running on customer hardware has been about 10 days .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
55,"Balloon glowing ? We'd love to see you before or after at Pi ! CWE and Delmar are around the corner , Kirkwood &amp; ... http://fb.me/I6SZ52nW All caught up on @SHO_weeds ! After eating a full meal that was the next thing on my list to do after graduating ! http://bit.ly/aTTQYq When Pepsi to ring usually confirm to , winning a Nokia 5800 ? RT @Slijterijmeisje : Kreeg net een bruikbare tip van iemand die vorige week was begonnen met een whiskydieet , hij was nu al 3 dagen kwijt #news Dems to voters : You may hate us , but GOP is worse ( AP ) ( Yahoo ! ) : Share With Friends : | Latest Top Ne ... http://adpro.co/aQxQtY @snufflesgirl25 @mo9x Well .",O O O O O O O O O O O O B-geo-loc O B-geo-loc O B-geo-loc O O O O O B-geo-loc O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-company O O O O O O O O B-product I-product O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-other O O O O O O O O O B-other O O O B-other O O B-company O O O O O O O O O O O O O O O O O
56,"just beg @100monkeysmusic .. PLEASE come to the #SBLeurope Next year !. We need you there ! *puss in boots eyes* RT @DollarVanDemos : #BROOKLYN ! Stay up late tonight to catch the 1 hr special of Demos @ 3AM on BCAT feat @BlissyCakes @YaGirlNicolette ... ahhh the disapointment , after all them awkward bait moments .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-tvshow O O O B-other O O O O O O O O O O O O O O O
57,"CLUB BLU tonite ...... 90 's music .. oldskool night wiith dj finese ooo @claireymarsh where are you when i need you .. @iDame2Please yea u c da pic 1st Presbyterian all day lol Time to go , hihi ! Beijinhos , seus viciados : * RT @rocsidiaz : @Wale ill be in DC tonight where u at ?? Ill be at muse 717 6th St Nw Dc to party @LinnySmit Linny Linny Linny .",B-facility I-facility O O O O O O O O O B-musicartist I-musicartist O O O O O O O O O O O O O O O O B-other I-other O O O O O O O O O O O O O O O O O O O O O O B-geo-loc O O O O O O O O B-facility O O O O O O O O O O O O
58,"U are something lady ... Well that story has been on hold for weeks now hasn't it ? I want to get on it this &gt; &gt; International Observe the Moon Night ( 9/18/2010 ) | Saturday , Sep 18 , 06:00 PM | http://bit.ly/bVOdBF #cuboulder waiting one extra day was a STUPID IDEA because now everything is super expensive AAAAAHHH .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-other I-other I-other I-other I-other O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
59,"x_x *freakingoutkhsf* 'Was going to stay until Sunday but my "" mother "" has already made me mad furthermore hair appointment tomrrw and back to Kent !' @LewisDixon Trust me ! im gonna be bringing out music like theres no tomorrow , Be doing pure blog videos &amp; freestyle videos #Moesh ! @joshHnumber1fan its okay then .. make it when it works :D Asprin , check , cup of tea , check , pillow , check , warm sleeping bag , check , fanfiction on the laptop , check .",O O O O O O O O O O O O O O O O O O O O O O O O O B-geo-loc O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
60,"Time to settle down and relax @angelportugues LMAO ! When is tht one day ?: P The Basic Step Before You Even Start Thinking Of Making Your ...: Keyword research is a well known subject , yet so ... http://bit.ly/9XQgSr today just does n't feel like a Friday RT @Slijterijmeisje : Kreeg net een bruikbare tip van iemand die vorige week was begonnen met een whiskydieet , hij was nu al 3 dagen kwijt You Get What You Give ~ Zac Brown Band 40 days in the top 100 Release Date : September 21 , 2010Buy new : $ 18.98 $ ... http://amzn.to/9Cfkpc Last stop of the day thank goddddd (@ H-E-B Plus ) http://4sq.com/7RDhgd its friday .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-musicartist I-musicartist I-musicartist O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
61,but instead of partying or doing homework .,O O O O O O O O
62,"I'm going to tumblr for a bit and sleep XD i'm off to bed ! tomorrow i'll go to Nijverdal and meet @ElineEpica there , on her sweeeet16 #partyyy @GOBLUE_FUCKosu it was our 10th grade year .",O O O B-company O O O O O O O O O O O O O O O B-geo-loc O O O O O O O O O O O O O O O O O
63,smh I think one of the coolest things to do would be to hang out with the Rza for a day .,O O O O O O O O O O O O O O O O B-musicartist I-musicartist O O O O
64,You remeber we were sitting there by the water you put your arm around me for the first time you made a rebel careless mans careful daughter @daxx_d24 best feeling in the world twice this week .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
65,Got 3 more on the way lmao i cant stop @DEVEY2G no I liked the one u had had that time but I'm sure I cood make one wit my bro possibly Always kinda awkward when you get the chat group wrong in WoW .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-product O
66,Sometimes you don't want the tank to know you're dissin ' him .,O O O O O O O O O O O O O
67,Oops .,O O
68,Kristen is MY LIFE .,B-person O O O O
69,"She made me who i am today , I was a fucker before her , she fixed me .",O O O O O O O O O O O O O O O O O O O
70,And so did Robert .,O O O B-person O
71,"Wtf do i have a stupid 3hr shift tonight !! I wanna go out and have fun :( Oh well time to watch some Jersey Shore haha @BPadalecki1990 Do you have any pic 's from your wedding day hun I would like to see them RT @HeyThatsSoTrue : When I was little , I had a huge imagination .",O O O O O O O O O O O O O O O O O O O O O O O O B-tvshow I-tvshow O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
72,Now I can't even make up a story for english class .,O O O O O O O O O O O O
73,"#HeyThatsSoTrue Your paycheck may shrink next year , at least temporarily , if a vote on extending the Bush tax cuts slips past November .",O O O O O O O O O O O O O O O O O O B-person O O O O O O
74,http://bit.ly/9y8fdS Dollar steady versus yen but market wary of intervention | Money ...: The dollar held near its highest in a month ... http://bit.ly/a0F3dO Greek Festival at St Johns before ASPEN Ew wait baq da fuq up .,O O O O O O O O O O O O O O O O O O O O O O O O B-other I-other O B-facility I-facility O B-geo-loc O O O O O O O
75,I have to look after Michael and his friend ... JOY .,O O O O O B-person O O O O O O
76,"-___-op It 's 5pm on Friday ! Wish you guys have a fabulous evening !!! And have a wonderful weekend &lt; 3 &lt; 3 http://fb.me/xLeN7MAe #jobs #careers #Greenville AT&amp;T Full Time Retail Sales Consultant(s ) - Greenville , AL http://bit.ly/dflARA MetroPCS has the worst customer service I 've experienced in months ( trying to help someone order a phone ) #metropcs #fail This next question , may take a few moments to research .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-company O O O O O O O B-geo-loc O B-geo-loc O B-company O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
77,BUT the answer IS on JavaMonkeys .,O O O O O O O
78,com .,O O
79,"So , we will pick a ... http://fb.me/GTRhPujh I just took "" Justin Bieber takes 2 months off career to finish school , He is a huge player ..."" and got : Part 8 ! Try it : http://bit.ly/cNarLp The week ahead - http://newzfor.me/?7jfc RT @NPR : Song of the Day : Blonde Redhead : A Different Kind Of Ache http://n.pr/9O8yXE we need some time alone we need to let it BREATH @AishaHanii2 @starflower1204 Ahhh okay .",O O O O O O O O O O O O B-person I-person O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-musicartist I-musicartist O B-other I-other I-other I-other I-other O O O O O O O O O O O O O O O O O
80,I've never ordered a CD before so I have NO idea .,O O O O O O O O O O O O
81,just say I NEED IT TO GET THROUGH THE WEEKEND !! xD RT @Ashanie_di_Don : @JDay_Sept15 lol i see someone hyped and ready for #FlavaFridays tonight &lt; every week .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
82,"Lets get it ! @BeliebinMinajj OMG MILLIONS it was on repeat yesterday all day till my last lesson and then around 9pm i put it back and then its been on But what happens when karam turns right around and bites you ? And everything you stand for turns on you despite you ? Today I must make full use of the filter .. Please don't fail me today ! @i_r_squared In December , I would advise against that .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
83,"@Johnterrysbabe lol I'm not up to much I'm just off to bed lol had a long day cht tumoz :) @rishi_syd hey , I'm fine !! Thanx :) u too have a great day ;) #BlackHoliday Marvin Gaye Day 'WHEN HE SAY "" iS YOU CHEATiN ON ME "" THAT JUST #REALLYMEANS , HE ALREADY CHEATiN !' party today &lt; 3 :) happy birthday florence &lt; 3 @JoshenReborn let me know if or when you are coming .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-person I-person O O O O O O O O O O O O O O O O O O O O O O O O O O B-person O O O O O O O O O O O O O
84,"#FullHouse u kno that day when the wanted will go 2 a radio station to find out if there number 1 with heart vacancy , when will that be ? Great #fail photo from @joshbuisch , who gets my #FF vote for the day for being hilarious ! http://bit.ly/bA3lUl $$ #forex #fx : Forex Articles for the Weekend September 18lo http://www.forexcrunch.com/forex-articles-for-the-weekend-september-18lo/ #uknouugly when #TeamFollowBack dnt follow you back @Maike_84 Flikken is geweldig ! Ik kan niet wachten tot de nieuwe serie in november .. (geloof ik ) Dit jaar alles gezien via uitzendinggemist .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-company O O O O O O O O O O O O O O O B-tvshow O O O O O O O O O O O O O O O O O O O O O O O O
85,"RT @BieberPledge : When I Get Old , Imma Still Be Rockin Out To ' Baby'...Even If I Break A Hip ;) Is sad that she 's missing Cowboy Mouth tonight :( @CWWatson one of the complainers is a child minder who brings kids to the school then looks after other kids thro the day .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-musicartist I-musicartist O O O O O O O O O O O O O O O O O O O O O O O O O O
86,"Beggers belief RT @fredthompson : WH rejects "" global warming "", favors term "" global climate disruption "". Ya know , I remember back when we used to call it ... George N .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-person I-person I-person
87,"Parks , UMass band director , dies after performance in Ohio : George N .",I-person O B-other O O O O O O O B-geo-loc O B-person I-person I-person
88,"Parks , for 33 years the dire ... http://tinyurl.com/2femvgq For code I 've written since Sept ' 09 , the delay between commit to SCM and running on customer hardware has been about 10 days .",I-person O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
89,"have to sleep now ! gym , facial , then SUPAHFEST tonight i need my kuya 's driver ... MOSH PIT VIP common @jeffstinco where are you ??? =D hey when a new videochat on spcrew ??!!! ;) Hurry up ! Santy will be Leaving in 2 days ! - #Eskorte and #Massasje i #Norge mothers day greeting cards :) Surrounded by Mothers Day and Dreading It ? http://bit.ly/a7d7tg Lol lucky me , u remembered me :D ... When u c her again tell her I say hi x ) Now time too do my hair ! New look on deck ! RT @JDay_Sept15 : RT @Ashanie_di_Don : @JDay_Sept15 lol i see someone hyped and ready for #FlavaFridays tonight &lt; every week .",O O O O O O O O O O B-other O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-person O O O O O O O O O O O O O B-other I-other O O O O O B-other I-other O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
90,Lets get it ! Chevron gouging consumers by claiming payments are late when in reality statement delivery is very poor turnaround time .,O O O O B-company O O O O O O O O O O O O O O O O O O
91,charging hefty fee 's RT @therbertson : Just saw the worst movie in years ... Piranha 3D just exceeded the limits of crappyness .,O O O O O O O O O O O O O O O B-movie I-movie O O O O O O O
92,| Glad you enjoyed it .,O O O O O O
93,Do n't miss our Half Way to St .,O O O O O O O B-other I-other
94,"Patty 's Day Party Tonight ! We 're having crazy drink Specials too .. tex 980-333-3923 to get on the guest list ! Sweet ! RT @SimoneSOliver : Here 's the London Fashion Week schedule : http://nyti.ms/bW0N3u RT @BiebersFairies : the day Justin Bieber was born was a rainy day , but it was no rain , NO ! the heaven was crying cause he lost his most ... dude got gucci symbol tatted all over his face http://mediacheckout.blogspot.com/2010/09/nuh-uhhhhhhh-yesterday-we-showed-you.html good day .",I-other I-other I-other O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-other I-other I-other O O O O O O O O B-person I-person O O O O O O O O O O O O O O O O O O O O O O O O O O O B-company O O O O O O O O O O
95,bad day .,O O O
96,"good day ? merek minuman sachet @TheWon_A Crooked is in town October 7th !! If you are staying in Gainesville , come check out Costa Lounge TONIGHT ! Say you are with salsa caliente and get in ... http://fb.me/FZVzm8H9 havnt lost a game in open gym all week .. now to go get dat fresh cut Looking to list another property tomorrow in Greenville , OH If you are in Belfast this weekend go to Botanic Gdns , for Taste N I , free food drink face painting etc .",O O O O O O O B-musicartist O O O O O O O O O O O B-geo-loc O O O O B-facility I-facility O O O O O O B-person I-person O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-geo-loc O B-geo-loc O O O O B-geo-loc O O O O B-facility I-facility O O O O O O O O O O O O O
97,Should be good day out .,O O O O O O
98,Sat &amp; Sun RT @TeamVA : 81 Days Till Last Sacrifice @spookytown omg was it Today ?? ill go to bed soon so ill read tomorrow .,O O O O O O O O O B-other I-other O O O O O O O O O O O O O O O O
99,Looking forward hehe -CHANGE OF ROOM ! - FATHER'S DAY auditions Sept 25 CANWEST Center for Theater and Film U of W ROOM 0T15 11:30 am - 4:00 PM .,O O O O O O O O O O O O O B-facility I-facility O O O O B-geo-loc I-geo-loc I-geo-loc O O O O O O O O
100,The bank teller I always go to wants me .,O O O O O O O O O O
101,Lol .,O O
102,No shit .,O O O
103,She left me wide open for tomorrow .,O O O O O O O O
104,"Too bad I already have fucking plans ! RT @lil_jeezy_85 : Going live tonight and 2mmrow &lt; what you performing somewhere ? @jimmy722 surgery or not , the most important thing is that 'll be all okay after that ! @glacerie It 's in my tweets a year ago I'll pull up the story later on .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
105,Just hope the film helps Shange sell more books .,O O O O O B-person O O O O
106,@BieberPaycee in like 3 days I think ... Well that 's when the single 's released :P Fresh out the psych ward today Home made cod &amp; chips + bottle of Microsoft provided champagne = top class Friday ;-) RT @AwwBieber : Boyfriend : Ive got dinner planned for Valentines Day .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-company O O O O O O O O O O O O O O O O O B-other I-other O
107,"Me : Sorry , i wont have time for u or your dinner ..... Im Watching Bie ... The last time I chatted with Kyle was June .",O O O O O O O O O O O O O O O O O O O O O O O O B-person O O O
108,The last time we emailed was August .,O O O O O O O O
109,"Football game tonight !!!!! V-I-K-I-N-G-S !!!!!!! i swear when you miss 1 day of school , feels like you missed a whole year ! dont even have homwork today , suprising ? @DahlDana ooooh when 's he releasing it ? ASPCA PETA HSUS .. Animal rescue or BIG BUSINESS ? http://tl.gd/63aeok CK OUT THIS SERIES OF LINKS BEFORE YOU DONATE Shot with a Jaybilizer today ... my teacher designed this , totally sweet ! http://jaybilizer.com/products/jaybilizer-hdslr/ RT @DGCLEAN : This weeks daily Deal is a twofer 1 : window cleaning $4 per window with a $100 minimum or as an add on to a ...... @valdary sorry i meant my dad in the first tweet , my mums been dead 5 years .",O O O O B-sportsteam O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
110,"smh i love my male friends ...... my female friends well i like yall most of the time lol @samanthaaai Up super duper early next week : | Snooth Talk : Zinfandel Port : This week is all about Zinfandel , and just last night I released a post on Zinfandel ... http://bit.ly/972Sik @vivarocks777 just giving a hard time so don't hurt me @sarahk47 Okay The doc 's saying Keep it tamped down a coupla days then bring her out early ? MD Jobs | Executive Pharmacist-Full Time Float-Ellicott City , MD Job ( MD ) http://bit.ly/daNH6v #Job #Hiring #MDJobs RT @Georg_Grey : Man :"" Is there any way for a long life ?"" Doctor : "" Get married ."" Man :"" Will it help ?"" Doctor :"" No , but the thought of long li ... @_mcintyre agreed lolzaa also hate school for making a long lie 10:30 .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-geo-loc O O O O O B-geo-loc I-geo-loc O B-geo-loc O O B-geo-loc O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
111,":( xx @keoghsie It 's been ages !! How are you ? We've been doing non-Twitter stuff for a while , but now have time for yapping again ! HUrrah !! @ScottBourne Oh hi , I swear I can scroll down past actual text on a page .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
112,I'll definitely pick that up this next week .,O O O O O O O O O
113,Thanks .,O O
